fold,project,n,r2,rmse,mae,bias
0,100MileWilderness,204,0.220668,44.505752,35.513572,16.769622
1,Arrowhead,125,0.41978,51.125145,35.978331,-3.884014
2,AshlandCounty,211,0.473518,51.560409,39.801933,4.356717
3,BayfieldCounty,409,0.304651,64.867687,47.593505,-0.710292
4,BigPoplar,71,0.297422,78.271055,63.562476,18.642163
5,BigSix,272,0.469834,48.169984,34.98702,-2.980389
6,Cassidy,343,0.453282,45.43625,34.506358,0.777646
7,ColeCrane,15,-0.211144,111.050738,76.332699,-60.383124
8,DouglasCounty,398,0.392525,44.674108,31.735022,-0.202688
9,EagleMountain,78,0.29204,45.152508,36.741555,-11.382019
10,GauleyRiver,199,0.07653,80.213307,62.302268,-4.060276
11,Greenleaf,82,0.537716,50.605398,38.55801,-3.25187
12,IronCounty,307,0.362252,53.031211,40.815072,-9.661009
13,KanawhaRiver,313,0.143602,79.868474,61.236108,1.134598
14,MooseCountry,232,0.257786,57.841452,46.800707,14.450728
15,NorthMaineWoods,245,0.552176,41.547124,30.858588,-6.08923
16,PriceCounty,170,0.415413,40.237961,31.615337,17.630694
17,RuskCounty,249,0.334513,62.504433,45.082225,-5.240436
18,SuperiorWatershed,162,0.201514,50.659816,39.248631,2.640118
19,TomahHighlands,265,0.43798,43.763,34.18742,3.045281
20,TwoHearted,21,-0.617403,137.299043,107.554406,-87.774047
21,WashburnCounty,260,0.391782,55.277502,39.207035,2.237916
22,WolverineCopper,5,0.030986,24.843176,20.379221,4.512537
AGG,ALL,4636,0.418224,56.576747,41.49267,0.503274
