row_key,hh_point,hv_point,hh_gauss,hv_gauss,hh_boxcar,hv_boxcar
0,-4.943630638354932,-9.608084379513727,-6.364234950590731,-10.787298582041188,-6.431615100263441,-10.85336067400207
1,-6.962325857495202,-10.15466762194653,-7.888437973326257,-10.602761848918522,-7.6775973680266825,-10.686329833159698
2,-6.465549596620164,-10.21027021462828,-6.359114943709479,-9.71087527700396,-6.343216144444189,-9.522409770348347
3,-3.034813231526016,-6.276050384421495,-4.394871954364813,-8.264470409608588,-6.006741611665193,-10.293860481255397
4,-8.45080158284182,-13.047587004374236,-8.470765809079388,-11.627391038501163,-8.027991316033756,-10.996382558120457
5,-7.454364166579708,-16.77764314674988,-6.821555884711901,-13.511582318114826,-6.0447977327443425,-11.366815600510327
6,-3.8220361057845764,-8.658245501459618,-5.270471625367614,-8.83424668796128,-5.9589984378759535,-9.42506726109795
7,-3.433650065064981,-9.228044498376605,-4.0198772435505585,-8.44968678288543,-4.556792019488879,-9.489622688864984
8,-1.0174414454706522,-7.61984258112453,-3.296737442015227,-8.420899712858311,-3.7373509077615807,-8.27487229775358
9,-8.114140337546473,-12.243618098534526,-6.985219795284869,-10.913999163890063,-7.001667300292437,-10.299855652516241
10,-7.838423555007751,-14.156678284305599,-6.9187127580551335,-12.002705513362585,-6.55047342954918,-10.889366240167217
11,-5.604808104351804,-9.656546550422632,-5.562041552233132,-9.589047643788433,-5.541365088592413,-9.40415080797373
12,-9.777002855104271,-11.661826895463932,-6.761486529384648,-9.521055742966865,-6.756015256712188,-9.491221651566734
13,-5.909021283740984,-8.49974549317686,-6.26044491533917,-9.203369203164584,-6.34152789402299,-9.538486438901673
14,-1.993951920751968,-8.361781157662548,-3.700423647677282,-9.07186653209234,-4.799357244334985,-9.577457612099298
15,-6.338333316433136,-11.919913579761939,-7.63168818286351,-10.76311441185476,-7.45662278264599,-10.481579320427494
16,-7.677694335571715,-11.62658043980207,-7.207906224459266,-12.211724435986161,-6.975388913067322,-11.724512552448576
17,-10.442446108400574,-15.009986773707794,-8.864312090765265,-12.24615092316387,-8.148559488272229,-11.094550512132733
18,-5.3586211112770314,-12.913301763950713,-4.636891748048039,-10.265243181334524,-5.333975663108916,-10.098720791635682
19,-9.039729921216377,-13.665612566368026,-7.131797456527455,-11.625628066907252,-6.747817380389072,-11.400408039470499
20,-2.9489038370303575,-9.878035959743357,-5.281538658633238,-10.891088336645682,-6.916346147044543,-11.765711085711164
21,-7.125588863729533,-15.280728587986061,-7.079408951992837,-12.404569757665032,-7.471150456800624,-11.74091152706936
22,-6.657951914861542,-10.721050464393002,-7.137341883744152,-13.295027286376625,-7.908519801498054,-13.632414577101017
23,-7.423955919735235,-9.001511945150469,-7.26351095176484,-11.146855292108112,-7.146159404014908,-11.525765607580338
24,-6.823631498157511,-10.358956665883795,-6.810414486282444,-10.520311733982997,-6.2293652088899085,-10.746905951956778
25,-5.812429911487982,-11.424924311471301,-4.631673393785542,-10.587411686965643,-3.9746287550472763,-10.012982294196917
26,-7.081010021943939,-9.611802654244343,-5.510328869079418,-9.977292798907946,-4.832424454764341,-10.080059985361524
27,-6.363883826512179,-11.254763006149318,-5.65539920110147,-10.143131547062215,-5.1600105586486364,-9.987157344705281
28,-7.04080712525608,-11.78991169609887,-6.689171186342649,-10.190295394798007,-6.269138125269613,-9.52506038962223
29,-6.075732722412255,-11.050484202592457,-5.487222703196963,-9.479042990387986,-5.751668922738205,-9.565936749010918
30,-7.770464409105969,-9.113161792716383,-6.000317992521471,-9.036404054529676,-6.075478259821766,-9.527207601297409
31,-7.844490179761493,-10.51848537708635,-6.569591180301671,-11.547501534288816,-6.121477926178126,-11.921675013130045
32,-7.264971557088771,-14.512168911794447,-4.593383965480132,-13.75044119118268,-4.358547399471718,-12.88818434459457
33,-7.113027922078345,-7.862715518789017,-6.149983217092583,-9.96959456861618,-5.960427903013083,-10.556635075892643
34,-2.5506077446446227,-9.705280629625904,-5.052659588599988,-9.46718432145839,-6.195925607698995,-9.713939667675042
35,-6.728380228636169,-10.778285331702548,-6.813565336404667,-10.222769749456344,-6.726117070620123,-9.94452322580488
36,-9.272637930539275,-10.561940782175384,-6.705133755738546,-9.744474932896663,-6.216058212370283,-9.73405268459509
37,-4.210613383129399,-9.675258082083914,-5.703228349316963,-9.145605958982173,-5.490360408227845,-9.090247698653048
38,-8.129804705431397,-10.058211425668901,-5.843976434625576,-10.690751602468799,-5.5985100388613,-10.760639587722844
39,-6.090597340366529,-9.151875303327387,-6.464420858197828,-9.849965281368611,-6.7253273259227955,-10.418663854561778
40,-6.491477644643538,-10.274254958029744,-5.83035094529494,-10.20134166898603,-6.724781943862924,-10.340993110968988
41,-8.547321549323755,-13.305463914026774,-6.829215054847789,-11.604550223455155,-5.659377109593906,-10.876724307294062
42,-7.376385581254766,-9.572839931130162,-7.7968337490308075,-10.069167267551997,-7.9720195193875,-11.008973400019258
43,-7.051879006472362,-12.845580466287728,-6.571088226095277,-11.63840623742475,-6.8579341470047215,-11.647244788710232
44,-6.288724966618062,-10.982719273803212,-7.533293708459617,-12.387518641608587,-7.239491717142208,-12.416372098581759
45,-8.968640298881454,-12.118639112994487,-9.019881993663326,-12.1137599178533,-8.82076010844447,-11.850031977698352
46,-3.2887762445330964,-9.136017096925656,-3.105161823038689,-9.874686181226098,-3.3749592511523065,-10.573644813875799
47,-5.22518078634215,-7.301951002266904,-4.655216780241286,-7.869259907621397,-4.648125022435384,-8.291742146556789
48,-9.958943035037905,-10.61813338746515,-7.7540306955944684,-9.85449843711722,-7.537640685950582,-10.337718861497311
49,-2.050608507602874,-9.84550091589783,-3.291654751688177,-10.499453894340112,-3.8454523056544856,-10.137496679582558
50,-3.98978214028007,-9.56543823520883,-4.796797041911109,-8.905379889198784,-5.973450246690096,-9.98134098775612
51,-6.959584964560477,-8.713404805095337,-6.267374147905662,-10.338469896099014,-5.718944599568972,-10.555120478608146
52,0.19495221048546796,-6.32176569857242,-2.99437900015132,-8.306572900429858,-3.939555687582882,-9.015501151406797
53,-8.829882380895256,-18.939342259705796,-8.961362054992852,-15.063972619359767,-8.029314533091357,-13.645393823453743
54,-5.702661713429478,-13.203641833970991,-5.889221388741164,-12.32415972239481,-5.526279864985933,-11.461812715978162
55,-7.659852721003915,-14.248159354920773,-7.131824323146588,-11.652529021810318,-6.750349819087271,-11.373145407489485
56,-3.7374711783619006,-11.326957829159127,-6.3016967956473895,-10.944429413651646,-7.008906156693039,-11.060463480049286
57,-7.577073023700294,-10.475246297062,-6.854401591410405,-11.113479679378047,-6.066990556321668,-10.763651062398466
58,-3.5263616299203306,-9.611802654244343,-5.561598166616598,-11.409702433918648,-6.644467385671419,-11.737244785120714
59,-5.55337757539499,-12.233553335371198,-5.525448676037789,-10.692132841831544,-5.790663210991687,-10.489561476199086
60,-5.6282866688246855,-11.75652273270704,-5.472947260192334,-9.936280670672769,-5.216814722789189,-9.725315279525274
61,-8.366613363427277,-12.921463916129795,-6.94098553840695,-11.23889301102155,-6.456609508318642,-10.8626155591017
62,-8.857116233151089,-9.995792906792815,-6.891834827413131,-10.596382368419569,-6.518395910582979,-10.61814354980579
63,-6.99941281511731,-11.540245836035908,-6.747993131622514,-11.617828361677617,-6.606655574337198,-11.558713626537273
64,-5.34609475236806,-7.612453478477235,-5.551793942828977,-9.92357511118362,-5.888488056225704,-11.029775892625006
65,-7.321928414545297,-17.203763217647577,-8.00672816727247,-13.433300170283964,-7.919335373817868,-12.257082648540939
66,-6.273517685864974,-11.006704424231671,-6.244169421184536,-11.043380747494611,-6.194179160110462,-11.201879844737071
67,-2.335547066595012,-6.952736513809057,-3.3965785192053066,-7.832362820363457,-4.2245976918921215,-8.677569154233076
68,-9.143061614455391,-10.861629481034186,-7.543536316235281,-10.888386290320632,-6.903799295207417,-10.42846823243684
69,-5.465254057186712,-11.577474458313773,-4.67180961272804,-9.45688105108614,-4.838766013307244,-9.439608481018992
70,-6.712384110601235,-12.493919800835215,-6.568124453576931,-11.83867921163278,-6.764034186837379,-11.616708416834038
71,-6.385661011262044,-12.193410504182523,-6.700118679195419,-12.232975106737891,-6.548018778282899,-11.824373554499983
72,-3.1215808239742557,-11.482393686387084,-5.152543110618161,-10.626433190988843,-5.808569438070122,-10.37257773028678
73,-5.932120450986687,-12.465462653707291,-6.165371974961674,-9.565876941521791,-6.048266834440241,-9.162973338931035
74,-4.888399435295142,-11.154243680957393,-5.909750508137979,-10.5992691749418,-5.5718573419843365,-9.792217315982366
75,-5.0871299035184165,-11.463962083421748,-4.506820178409185,-9.771771686491423,-4.312828701764028,-9.483283611136104
76,-7.9544202907976285,-13.285571470368396,-7.679632131519193,-12.338959526914147,-7.301661747460605,-12.052744413669487
77,-4.982829905960159,-9.939610978007735,-5.7693484712484535,-11.046448962600806,-5.692975918576074,-10.55586212701043
78,-5.944302626389046,-9.55250042507842,-5.970703793708183,-10.458935105587324,-6.180077345011762,-10.461373920730859
79,-4.526831564133872,-10.532946369240165,-5.590748401806445,-9.319435104254563,-5.921556824178412,-9.342325085073886
80,-4.563150371882841,-5.444513000172037,-3.8729291704525988,-7.162932070781918,-4.064744528682152,-8.34403446410295
81,-4.044465830705235,-11.631271711662293,-4.152422466397178,-11.295639620545487,-4.479323209156106,-11.150658044568173
82,-4.645689668810135,-11.245780699621776,-5.59039577721639,-10.509633623609496,-5.915338351347819,-10.681141196177114
83,-6.1790706918139335,-11.156464852082664,-6.325717757117848,-11.061649789381901,-6.606453153993581,-11.276444964389043
84,-9.335455879171292,-13.044825634254636,-8.542087644116743,-11.649496668306277,-7.901392707267808,-11.310872515838373
85,-4.301954833553722,-12.029754873179286,-3.958512556210708,-11.096548779032025,-4.5526797045794245,-10.595451381917805
86,-5.348370928910967,-11.138711366825646,-5.8004363752812,-10.160251708354307,-6.099028761320737,-10.32810813987895
